STORE_NAME,longitude,latitude,ADDRESS,ADDRESS2,CITY,STATE,ZIP5,zip4,County,
"RITE AID 5681",-116.39263,33.721333,"72875 Highway 111","","Palm Desert","CA","92260","3312","RIVERSIDE" 
"USA Liquor",-116.87364,32.846157,"14328 Olde Highway 80","","El Cajon","CA","92021","2827","SAN DIEGO" 
"BOMBAY SPICE HOUSE",-122.29353,37.868725,"1036 University Ave","","Berkeley","CA","94710","2114","ALAMEDA" 
"EL AZTECA MARKET",-118.27408,34.010365,"4031 S Main St","","Los Angeles","CA","90037","1021","LOS ANGELES" 
"Paramount Market",-121.49669,38.5812,"721 J St","","Sacramento","CA","95814","2501","SACRAMENTO" 
"RITE AID 5847",-118.46781,35.123734,"811 Tucker Rd","","Tehachapi","CA","93561","2510","KERN" 
"RITE AID 6195",-119.10365,35.339916,"9000 Ming Ave Ste A","","Bakersfield","CA","93311","1319","KERN" 
"RITE AID 6294",-119.1455,35.384064,"2646 Allen Rd","","Bakersfield","CA","93314","9542","KERN" 
"RITE AID 6303",-119.03816,35.295803,"3225 Panama Ln","","Bakersfield","CA","93313","3732","KERN" 
"RITE AID 6366",-119.09238,35.41481,"6001 Coffee Rd","","Bakersfield","CA","93308","9414","KERN" 
"RITE AID 6396",-118.08525,34.558167,"2419 E Avenue S","","Palmdale","CA","93550","6202","LOS ANGELES" 
"RITE AID 6400",-118.18589,34.602264,"3105 Rancho Vista Blvd","","Palmdale","CA","93551","4822","LOS ANGELES" 
"RITE AID 5771",-119.30312,34.28138,"131 W Main St","","Ventura","CA","93001","2509","VENTURA" 
"RITE AID 5772",-119.25964,34.272182,"2738 E Thompson Blvd","","Ventura","CA","93003","2719","VENTURA" 
"RITE AID 5776",-119.51991,34.397713,"801 Linden Ave","","Carpinteria","CA","93013","2042","SANTA BARBARA" 
"RITE AID 5779",-119.28893,34.42564,"11496 N Ventura Ave","","Ojai","CA","93023","4195","VENTURA" 
"RITE AID 5788",-119.6786,34.421474,"35 S Milpas St","","Santa Barbara","CA","93103","3305","SANTA BARBARA" 
"RITE AID 5789",-119.70016,34.420166,"825 State St","","Santa Barbara","CA","93101","3206","SANTA BARBARA" 
"RITE AID 5790",-119.7236,34.401936,"1976 Cliff Dr","","Santa Barbara","CA","93109","1504","SANTA BARBARA" 
"PRIME MARKET",-123.20857,39.145309,"295 W Mill St","","Ukiah","CA","95482","5432","MENDOCINO" 
"CARNICERIA EL BRINQUITO",-122.48608,38.319839,"17380 Sonoma Hwy","","Sonoma","CA","95476","3636","SONOMA" 
"Olympus Market",-118.38653,34.201256,"11663 Sherman Way","","North Hollywood","CA","91605","5833","LOS ANGELES" 
"ANATEL LIQUORS",-118.1023,33.955547,"9414 Telegraph Rd","","Downey","CA","90240","2426","LOS ANGELES" 
"RITE AID 5791",-119.83075,34.443027,"199 N Fairview Ave","","Goleta","CA","93117","2304","SANTA BARBARA" 
"RITE AID 5820",-120.65565,35.282623,"1251 Johnson Ave","","San Luis Obispo","CA","93401","3306","SAN LUIS OBISPO" 
"RITE AID 5821",-120.83053,35.310947,"1110 Los Osos Valley Rd","","Los Osos","CA","93402","3204","SAN LUIS OBISPO" 
"RITE AID 5824",-120.59968,35.120434,"1207 E Grand Ave","","Arroyo Grande","CA","93420","2419","SAN LUIS OBISPO" 
"RITE AID 5825",-120.60874,35.120995,"1690 E Grand Ave","","Arroyo Grande","CA","93420","2469","SAN LUIS OBISPO" 
"RITE AID 5827",-120.66502,35.486427,"7025 El Camino Real","","Atascadero","CA","93422","4523","SAN LUIS OBISPO" 
"RITE AID 5830",-120.84274,35.367977,"740 Quintana Rd","","Morro Bay","CA","93442","1940","SAN LUIS OBISPO" 
"RITE AID 5831",-120.66179,35.623112,"1151 Creston Rd","","Paso Robles","CA","93446","","SAN LUIS OBISPO" 
"RITE AID 5832",-120.69244,35.639591,"2424 Spring St","","Paso Robles","CA","93446","1226","SAN LUIS OBISPO" 
"RITE AID 5833",-120.62402,35.136097,"531 Five Cities Dr","","Pismo Beach","CA","93449","3007","SAN LUIS OBISPO" 
"SUPER LATINO MARKET",-122.73848,38.427509,"1701 Sebastopol Rd","","Santa Rosa","CA","95407","6816","SONOMA" 
